SendingfirmID,ReceivingfirmID,Start date of Transaction,End date of Transaction,Amount Sent in $,Amount Received in $,ColG,ColH,ColI,ColJ,ColK,SomeCode
202320,1000019,20100,22800,26472.1,26472.1,7551.15,0,0,0,0.28525,6C
202320,202320,20100,22800,22669.3,22669.4,6466.44,0,0,0,0.28525,6C
202320,2364700,20100,22800,10000,10000,2158.13,0,0,0,0.215813,7E
202320,2366082,20100,22800,5000,5000,1079.06,0,0,0,0.215813,7E
202320,202320,20100,22800,5555.94,5555.9,1584.82,0,0,0,0.28525,6C
202320,202320,20100,22800,9928.61,9928.62,2832.14,0,0,0,0.28525,6C
115009,115009,31900,32600,21015.4,21015.3,4281.88,0,0,0,0.20375,N5
115009,115009,31900,32600,5.25,5.15,1.05,0,0,0,0.20375,N5
202897,202897,40100,63000,621,621,621,0,0,0,1,I8
115009,115009,32700,40200,23093.9,23093.9,4705.38,0,0,0,0.20375,N5
115009,115009,32700,40200,5.62,5.64,1.15,0,0,0,0.20375,N5
153047,153047,30100,33000,1535,1535,1535,0,0,0,1,I8
114492,114492,40100,63000,207,207,207,0,0,0,1,I8
153443,153443,20100,12800,39390.7,39390.8,12122.5,39.39,0,0.001,0.30775,7A
153443,1000019,20100,12800,4052.72,4052.72,1247.22,4.05,0,0.001,0.30775,7A
153443,153443,20100,12800,6818.87,6818.85,1953.26,6.82,0,0.001,0.28645,7D
153443,100237,20100,12800,9822.96,9823,2156.76,7.37,0,0.00075,0.219563,7B
153443,100845,20100,12800,10202.4,10202.5,2240.09,7.65,0,0.00075,0.219563,7B
153443,102660,20100,12800,6994.96,6995,1535.84,5.25,0,0.00075,0.219563,7B
153443,153205,20100,12800,20127,20127,4419.13,15.1,0,0.00075,0.219563,7B
153443,153443,20100,12800,1391.11,1391.1,428.11,1.39,0,0.001,0.30775,7A
260599,260541,20100,22800,24475.9,24476,5328.12,18.36,0,0.00075,0.217688,6B
260599,260401,20100,22800,15130,15130,3293.61,11.35,0,0.00075,0.217688,6B
260599,12203512,20100,22800,49275,49275,10726.5,36.96,0,0.00075,0.217688,6B
260599,200645,20100,22800,545.91,545.95,166.65,0.55,0,0.001,0.30525,6A
151348,151348,10100,13000,31929.6,31929.6,9826.34,31.93,0,0.001,0.30775,7A
151348,1000019,10100,13000,9687.61,9687.58,2981.35,9.69,0,0.001,0.30775,7A
151348,1000019,10100,13000,9334.11,9334.12,2872.58,9.33,0,0.001,0.30775,7A
151348,412727,10100,13000,8670.25,8670.32,2483.61,8.67,0,0.001,0.28645,7D
